EmployeeID,EmployeeProfile,EmployeeEmail,EmployeeName,EmployeeRole,EmployeeStatus,EmployeeSalary,EmployeeJobType,EmployeeResident,EmployeeAge,Bonuses
87,Profile 87,user87@mail.com,Employee 87,Marketing Executive,Inactive,9041,Full-time,PR,26,532
88,Profile 88,user88@example.com,Employee 88,QA Engineer,Inactive,4936,Full-time,Foreigner,38,626
89,Profile 89,user89@company.org,Employee 89,QA Engineer,Inactive,8680,Part-time,Citizen,48,85
90,Profile 90,user90@mail.com,Employee 90,Marketing Executive,Inactive,5624,Full-time,Citizen,27,125
91,Profile 91,user91@example.com,Employee 91,DevOps Engineer,Active,8879,Full-time,Foreigner,56,845
92,Profile 92,user92@mail.com,Employee 92,Business Analyst,Inactive,4941,Full-time,PR,44,442
93,Profile 93,user93@corporate.net,Employee 93,Data Analyst,Inactive,4968,Part-time,Foreigner,23,526
94,Profile 94,user94@mail.com,Employee 94,Data Analyst,Active,9612,Full-time,Foreigner,39,694
95,Profile 95,user95@mail.com,Employee 95,Product Manager,Active,9643,Contract,Foreigner,57,408
96,Profile 96,user96@company.org,Employee 96,Data Analyst,Inactive,9612,Contract,Foreigner,31,505
97,Profile 97,user97@example.com,Employee 97,UX Designer,Active,5053,Contract,PR,44,458
98,Profile 98,user98@mail.com,Employee 98,Product Manager,Active,5503,Contract,PR,55,16
99,Profile 99,user99@example.com,Employee 99,HR Manager,Active,5903,Full-time,Foreigner,48,606
100,Profile 100,user100@mail.com,Employee 100,QA Engineer,Inactive,8153,Contract,Foreigner,21,708
101,Profile 101,user101@mail.com,Employee 101,QA Engineer,Active,8850,Part-time,PR,59,31
102,Profile 102,user102@example.com,Employee 102,Project Manager,Inactive,4498,Part-time,PR,55,219
103,Profile 103,user103@corporate.net,Employee 103,Marketing Executive,Active,5450,Contract,Citizen,64,710
104,Profile 104,user104@company.org,Employee 104,Marketing Executive,Inactive,8832,Contract,Foreigner,45,708
105,Profile 105,user105@corporate.net,Employee 105,Product Manager,Inactive,3741,Part-time,Citizen,36,66
106,Profile 106,user106@example.com,Employee 106,QA Engineer,Inactive,4682,Full-time,Citizen,46,48
107,Profile 107,user107@corporate.net,Employee 107,Data Analyst,Inactive,9834,Contract,PR,39,467
108,Profile 108,user108@mail.com,Employee 108,Project Manager,Inactive,9114,Contract,Citizen,49,303
109,Profile 109,user109@corporate.net,Employee 109,HR Manager,Active,4056,Full-time,Citizen,37,784
110,Profile 110,user110@example.com,Employee 110,Business Analyst,Inactive,6752,Contract,Foreigner,44,590
111,Profile 111,user111@example.com,Employee 111,Business Analyst,Inactive,6287,Full-time,PR,51,449
112,Profile 112,user112@example.com,Employee 112,Marketing Executive,Inactive,3974,Full-time,Foreigner,64,779
113,Profile 113,user113@company.org,Employee 113,Product Manager,Active,3957,Full-time,Foreigner,42,881
114,Profile 114,user114@company.org,Employee 114,Business Analyst,Active,9589,Contract,Foreigner,29,818
115,Profile 115,user115@example.com,Employee 115,Product Manager,Inactive,3878,Full-time,PR,57,498
116,Profile 116,user116@corporate.net,Employee 116,Project Manager,Inactive,4051,Contract,Foreigner,57,142
117,Profile 117,user117@corporate.net,Employee 117,DevOps Engineer,Active,3654,Contract,Foreigner,49,817
118,Profile 118,user118@mail.com,Employee 118,UX Designer,Active,4459,Contract,Citizen,29,648
119,Profile 119,user119@corporate.net,Employee 119,Data Analyst,Active,8378,Contract,Foreigner,50,846
120,Profile 120,user120@company.org,Employee 120,Data Analyst,Active,7666,Part-time,PR,20,462
121,Profile 121,user121@company.org,Employee 121,Product Manager,Active,7959,Full-time,Foreigner,23,132
122,Profile 122,user122@example.com,Employee 122,Project Manager,Active,6556,Contract,PR,23,862
123,Profile 123,user123@mail.com,Employee 123,HR Manager,Inactive,9058,Full-time,PR,33,645
124,Profile 124,user124@mail.com,Employee 124,Marketing Executive,Inactive,5864,Contract,PR,39,773
125,Profile 125,user125@mail.com,Employee 125,Business Analyst,Active,3610,Part-time,PR,25,541
126,Profile 126,user126@example.com,Employee 126,QA Engineer,Inactive,7299,Contract,Citizen,23,489
127,Profile 127,user127@corporate.net,Employee 127,UX Designer,Active,5053,Full-time,Citizen,34,74
128,Profile 128,user128@company.org,Employee 128,UX Designer,Active,5709,Full-time,PR,63,469
129,Profile 129,user129@corporate.net,Employee 129,Product Manager,Active,9478,Full-time,Foreigner,45,868
130,Profile 130,user130@company.org,Employee 130,Data Analyst,Inactive,9209,Part-time,PR,37,832
131,Profile 131,user131@mail.com,Employee 131,DevOps Engineer,Inactive,3495,Part-time,Citizen,40,317
132,Profile 132,user132@example.com,Employee 132,Product Manager,Inactive,8930,Part-time,PR,22,597
133,Profile 133,user133@example.com,Employee 133,UX Designer,Inactive,4808,Contract,PR,48,967
134,Profile 134,user134@corporate.net,Employee 134,Business Analyst,Inactive,6066,Part-time,Citizen,38,625
135,Profile 135,user135@company.org,Employee 135,Marketing Executive,Active,6950,Contract,Foreigner,20,846
136,Profile 136,user136@mail.com,Employee 136,DevOps Engineer,Inactive,5230,Part-time,PR,42,619
137,Profile 137,user137@mail.com,Employee 137,Marketing Executive,Active,6155,Full-time,PR,64,100
138,Profile 138,user138@company.org,Employee 138,UX Designer,Inactive,3391,Part-time,PR,42,601
139,Profile 139,user139@company.org,Employee 139,UX Designer,Active,5615,Contract,Citizen,64,725
140,Profile 140,user140@example.com,Employee 140,Software Engineer,Inactive,5229,Part-time,Citizen,45,479
141,Profile 141,user141@example.com,Employee 141,QA Engineer,Inactive,4403,Full-time,Foreigner,32,487
142,Profile 142,user142@corporate.net,Employee 142,UX Designer,Active,8323,Part-time,PR,46,739
143,Profile 143,user143@corporate.net,Employee 143,Business Analyst,Active,4139,Full-time,Foreigner,64,118
144,Profile 144,user144@example.com,Employee 144,DevOps Engineer,Active,6304,Full-time,Citizen,28,766
145,Profile 145,user145@company.org,Employee 145,Project Manager,Inactive,9214,Full-time,Citizen,41,647
146,Profile 146,user146@mail.com,Employee 146,Business Analyst,Inactive,4552,Contract,PR,52,998
147,Profile 147,user147@corporate.net,Employee 147,DevOps Engineer,Active,5616,Part-time,PR,43,443
148,Profile 148,user148@mail.com,Employee 148,HR Manager,Inactive,5118,Contract,PR,61,397
149,Profile 149,user149@company.org,Employee 149,UX Designer,Inactive,9339,Part-time,PR,22,99
150,Profile 150,user150@corporate.net,Employee 150,UX Designer,Active,9798,Part-time,Citizen,59,106
151,Profile 151,user151@corporate.net,Employee 151,Product Manager,Inactive,9823,Full-time,Foreigner,21,18
152,Profile 152,user152@mail.com,Employee 152,Marketing Executive,Active,3038,Contract,PR,31,478
153,Profile 153,user153@corporate.net,Employee 153,Product Manager,Inactive,6982,Full-time,Citizen,28,352
154,Profile 154,user154@company.org,Employee 154,Software Engineer,Active,7431,Contract,PR,46,187
155,Profile 155,user155@company.org,Employee 155,Business Analyst,Inactive,5340,Full-time,PR,44,496
156,Profile 156,user156@corporate.net,Employee 156,QA Engineer,Inactive,4503,Part-time,PR,30,25
157,Profile 157,user157@corporate.net,Employee 157,Business Analyst,Active,7825,Contract,Citizen,33,858
158,Profile 158,user158@company.org,Employee 158,UX Designer,Active,8185,Part-time,PR,40,725
159,Profile 159,user159@company.org,Employee 159,QA Engineer,Active,6373,Full-time,Citizen,65,88
160,Profile 160,user160@mail.com,Employee 160,Business Analyst,Inactive,5005,Contract,Citizen,23,906
161,Profile 161,user161@example.com,Employee 161,UX Designer,Active,9792,Contract,Foreigner,41,705
162,Profile 162,user162@example.com,Employee 162,Software Engineer,Active,5001,Full-time,PR,37,841
163,Profile 163,user163@example.com,Employee 163,HR Manager,Active,5248,Full-time,Citizen,44,679
164,Profile 164,user164@mail.com,Employee 164,Data Analyst,Inactive,5448,Contract,Foreigner,21,899
165,Profile 165,user165@mail.com,Employee 165,QA Engineer,Active,5488,Part-time,PR,28,257
166,Profile 166,user166@corporate.net,Employee 166,Marketing Executive,Inactive,8811,Contract,Foreigner,44,374
167,Profile 167,user167@example.com,Employee 167,Data Analyst,Inactive,8567,Part-time,PR,31,49
168,Profile 168,user168@company.org,Employee 168,QA Engineer,Inactive,4590,Full-time,Citizen,49,308
169,Profile 169,user169@company.org,Employee 169,UX Designer,Active,3898,Full-time,PR,20,807
170,Profile 170,user170@company.org,Employee 170,Data Analyst,Inactive,7431,Part-time,Citizen,31,594
171,Profile 171,user171@corporate.net,Employee 171,Business Analyst,Inactive,6906,Part-time,Foreigner,34,705
172,Profile 172,user172@corporate.net,Employee 172,Product Manager,Inactive,5985,Full-time,PR,21,528
173,Profile 173,user173@company.org,Employee 173,QA Engineer,Active,3192,Part-time,Foreigner,61,305
174,Profile 174,user174@mail.com,Employee 174,Data Analyst,Active,6777,Full-time,Foreigner,64,872
175,Profile 175,user175@company.org,Employee 175,Data Analyst,Active,9620,Full-time,PR,35,390
176,Profile 176,user176@corporate.net,Employee 176,UX Designer,Inactive,5607,Contract,PR,48,920
177,Profile 177,user177@company.org,Employee 177,UX Designer,Inactive,5825,Contract,PR,59,816
178,Profile 178,user178@corporate.net,Employee 178,Business Analyst,Inactive,6588,Full-time,Citizen,56,614
179,Profile 179,user179@example.com,Employee 179,Product Manager,Active,5696,Contract,Foreigner,31,730
180,Profile 180,user180@corporate.net,Employee 180,Business Analyst,Active,3475,Full-time,Citizen,62,418
181,Profile 181,user181@mail.com,Employee 181,Project Manager,Inactive,4059,Contract,Foreigner,38,308
182,Profile 182,user182@example.com,Employee 182,UX Designer,Inactive,9790,Contract,Foreigner,47,920
183,Profile 183,user183@example.com,Employee 183,Marketing Executive,Active,5852,Part-time,Citizen,63,730
184,Profile 184,user184@mail.com,Employee 184,HR Manager,Inactive,8762,Full-time,Foreigner,29,956
185,Profile 185,user185@corporate.net,Employee 185,Marketing Executive,Inactive,4884,Contract,Citizen,46,502
186,Profile 186,user186@company.org,Employee 186,Business Analyst,Active,7833,Contract,PR,31,259
187,Profile 187,user187@corporate.net,Employee 187,DevOps Engineer,Inactive,6180,Contract,PR,59,336
188,Profile 188,user188@corporate.net,Employee 188,DevOps Engineer,Inactive,3763,Full-time,PR,59,579
189,Profile 189,user189@company.org,Employee 189,QA Engineer,Active,7766,Full-time,Foreigner,30,963
190,Profile 190,user190@example.com,Employee 190,Data Analyst,Inactive,9341,Part-time,Foreigner,40,332
191,Profile 191,user191@example.com,Employee 191,UX Designer,Active,4709,Contract,PR,55,563
192,Profile 192,user192@corporate.net,Employee 192,Marketing Executive,Inactive,5508,Full-time,Citizen,26,449
193,Profile 193,user193@corporate.net,Employee 193,Product Manager,Active,5902,Contract,Foreigner,31,889
194,Profile 194,user194@mail.com,Employee 194,Project Manager,Inactive,5237,Full-time,Foreigner,56,259
195,Profile 195,user195@corporate.net,Employee 195,QA Engineer,Active,3017,Contract,PR,52,437
196,Profile 196,user196@company.org,Employee 196,DevOps Engineer,Active,8610,Contract,Citizen,59,130
197,Profile 197,user197@mail.com,Employee 197,Data Analyst,Inactive,7254,Contract,PR,41,302
198,Profile 198,user198@example.com,Employee 198,Business Analyst,Inactive,4332,Full-time,Citizen,63,62
199,Profile 199,user199@example.com,Employee 199,Marketing Executive,Active,6938,Part-time,PR,64,243
200,Profile 200,user200@example.com,Employee 200,UX Designer,Active,4029,Contract,Citizen,23,849
201,Profile 201,user201@company.org,Employee 201,Data Analyst,Inactive,4022,Contract,Citizen,27,296
202,Profile 202,user202@example.com,Employee 202,Project Manager,Inactive,8128,Contract,PR,40,123
203,Profile 203,user203@corporate.net,Employee 203,Software Engineer,Active,9159,Contract,Citizen,28,556
204,Profile 204,user204@company.org,Employee 204,Business Analyst,Inactive,3422,Full-time,PR,31,760
205,Profile 205,user205@company.org,Employee 205,Project Manager,Active,8791,Contract,Citizen,47,549
206,Profile 206,user206@company.org,Employee 206,Business Analyst,Inactive,7834,Contract,PR,60,863
207,Profile 207,user207@example.com,Employee 207,Software Engineer,Active,6078,Full-time,Foreigner,24,203
208,Profile 208,user208@company.org,Employee 208,HR Manager,Inactive,3721,Part-time,Foreigner,46,370
209,Profile 209,user209@mail.com,Employee 209,Data Analyst,Inactive,7008,Contract,PR,62,271
210,Profile 210,user210@example.com,Employee 210,Software Engineer,Active,4733,Full-time,Foreigner,43,916
211,Profile 211,user211@corporate.net,Employee 211,Marketing Executive,Inactive,3184,Part-time,Foreigner,60,454
212,Profile 212,user212@corporate.net,Employee 212,UX Designer,Active,6161,Full-time,Citizen,51,182
213,Profile 213,user213@company.org,Employee 213,UX Designer,Inactive,9302,Contract,Foreigner,61,966
214,Profile 214,user214@company.org,Employee 214,DevOps Engineer,Active,6462,Full-time,PR,44,677
215,Profile 215,user215@company.org,Employee 215,Marketing Executive,Active,3756,Contract,PR,29,791
216,Profile 216,user216@corporate.net,Employee 216,Marketing Executive,Inactive,7522,Contract,PR,33,947
217,Profile 217,user217@mail.com,Employee 217,Project Manager,Active,3448,Part-time,Citizen,65,119
218,Profile 218,user218@example.com,Employee 218,Product Manager,Inactive,7698,Contract,Foreigner,38,420
219,Profile 219,user219@company.org,Employee 219,UX Designer,Inactive,9732,Contract,Citizen,23,517
220,Profile 220,user220@company.org,Employee 220,HR Manager,Active,5077,Part-time,Citizen,23,829
221,Profile 221,user221@company.org,Employee 221,Marketing Executive,Inactive,4437,Full-time,Citizen,33,934
222,Profile 222,user222@example.com,Employee 222,Data Analyst,Inactive,5325,Part-time,PR,35,231
223,Profile 223,user223@corporate.net,Employee 223,DevOps Engineer,Inactive,3266,Full-time,PR,65,659
224,Profile 224,user224@company.org,Employee 224,Project Manager,Inactive,3428,Part-time,PR,26,395
225,Profile 225,user225@corporate.net,Employee 225,HR Manager,Inactive,7184,Part-time,Foreigner,23,922
226,Profile 226,user226@company.org,Employee 226,DevOps Engineer,Active,3281,Contract,PR,28,346
227,Profile 227,user227@corporate.net,Employee 227,Data Analyst,Inactive,6379,Full-time,PR,59,383
228,Profile 228,user228@example.com,Employee 228,Project Manager,Active,6074,Full-time,Citizen,29,863
229,Profile 229,user229@mail.com,Employee 229,Business Analyst,Inactive,3885,Full-time,Citizen,20,946
230,Profile 230,user230@example.com,Employee 230,DevOps Engineer,Inactive,3760,Full-time,PR,25,812
231,Profile 231,user231@corporate.net,Employee 231,QA Engineer,Inactive,3679,Full-time,Citizen,51,265
232,Profile 232,user232@company.org,Employee 232,DevOps Engineer,Inactive,8317,Contract,PR,60,432
233,Profile 233,user233@mail.com,Employee 233,Project Manager,Inactive,4937,Full-time,Citizen,59,225
234,Profile 234,user234@example.com,Employee 234,UX Designer,Active,8970,Full-time,PR,63,253
235,Profile 235,user235@example.com,Employee 235,DevOps Engineer,Active,4020,Part-time,Foreigner,45,326
236,Profile 236,user236@company.org,Employee 236,Product Manager,Active,4714,Part-time,PR,57,818
237,Profile 237,user237@example.com,Employee 237,Data Analyst,Inactive,8516,Part-time,PR,45,604
238,Profile 238,user238@corporate.net,Employee 238,Data Analyst,Active,7518,Full-time,Foreigner,43,246
239,Profile 239,user239@company.org,Employee 239,UX Designer,Inactive,7909,Contract,Foreigner,46,17
240,Profile 240,user240@company.org,Employee 240,Business Analyst,Inactive,3627,Part-time,Citizen,59,190
241,Profile 241,user241@mail.com,Employee 241,UX Designer,Inactive,8319,Full-time,Citizen,65,864
242,Profile 242,user242@mail.com,Employee 242,HR Manager,Active,7842,Contract,Foreigner,23,854
243,Profile 243,user243@mail.com,Employee 243,QA Engineer,Inactive,5447,Full-time,PR,31,399
244,Profile 244,user244@company.org,Employee 244,UX Designer,Active,3134,Contract,Foreigner,64,77
245,Profile 245,user245@company.org,Employee 245,DevOps Engineer,Active,7621,Full-time,Foreigner,21,209
246,Profile 246,user246@example.com,Employee 246,Marketing Executive,Inactive,4217,Part-time,PR,24,352
247,Profile 247,user247@mail.com,Employee 247,Software Engineer,Active,8208,Part-time,Foreigner,33,206
248,Profile 248,user248@company.org,Employee 248,Product Manager,Active,7025,Contract,PR,60,630
249,Profile 249,user249@company.org,Employee 249,Product Manager,Active,9836,Contract,PR,60,460
250,Profile 250,user250@example.com,Employee 250,DevOps Engineer,Inactive,7340,Full-time,PR,56,454
251,Profile 251,user251@example.com,Employee 251,DevOps Engineer,Inactive,9100,Full-time,Citizen,27,525
252,Profile 252,user252@example.com,Employee 252,Marketing Executive,Active,4354,Full-time,Citizen,52,128
253,Profile 253,user253@corporate.net,Employee 253,QA Engineer,Active,8746,Full-time,Foreigner,52,888
254,Profile 254,user254@example.com,Employee 254,UX Designer,Active,5940,Contract,Foreigner,47,152
255,Profile 255,user255@company.org,Employee 255,Software Engineer,Inactive,9376,Part-time,Citizen,21,378
256,Profile 256,user256@company.org,Employee 256,HR Manager,Active,5820,Part-time,Citizen,51,563
257,Profile 257,user257@mail.com,Employee 257,DevOps Engineer,Active,5584,Part-time,Citizen,56,76
258,Profile 258,user258@company.org,Employee 258,DevOps Engineer,Inactive,6749,Part-time,Citizen,26,32
259,Profile 259,user259@example.com,Employee 259,Software Engineer,Inactive,7638,Part-time,Foreigner,24,715
260,Profile 260,user260@corporate.net,Employee 260,Product Manager,Inactive,4252,Contract,PR,61,642
261,Profile 261,user261@mail.com,Employee 261,UX Designer,Active,4056,Part-time,Citizen,64,915
262,Profile 262,user262@corporate.net,Employee 262,Project Manager,Inactive,7649,Full-time,Citizen,54,683
263,Profile 263,user263@company.org,Employee 263,HR Manager,Active,8289,Contract,Foreigner,39,634
264,Profile 264,user264@corporate.net,Employee 264,Data Analyst,Active,9929,Contract,PR,46,74
265,Profile 265,user265@corporate.net,Employee 265,Business Analyst,Active,9455,Part-time,Citizen,53,970
266,Profile 266,user266@company.org,Employee 266,Product Manager,Inactive,7485,Contract,Foreigner,61,554
267,Profile 267,user267@company.org,Employee 267,DevOps Engineer,Inactive,9221,Part-time,PR,46,310
268,Profile 268,user268@company.org,Employee 268,Business Analyst,Inactive,4689,Contract,PR,29,743
269,Profile 269,user269@company.org,Employee 269,Marketing Executive,Inactive,9646,Contract,Foreigner,61,209
270,Profile 270,user270@mail.com,Employee 270,HR Manager,Active,3655,Contract,Citizen,58,970
271,Profile 271,user271@example.com,Employee 271,QA Engineer,Active,6422,Contract,Foreigner,45,285
272,Profile 272,user272@corporate.net,Employee 272,HR Manager,Active,8116,Full-time,Citizen,28,3
273,Profile 273,user273@example.com,Employee 273,HR Manager,Inactive,8013,Part-time,Citizen,62,654
274,Profile 274,user274@mail.com,Employee 274,DevOps Engineer,Active,4977,Full-time,PR,24,727
275,Profile 275,user275@example.com,Employee 275,UX Designer,Active,3850,Contract,PR,41,960
276,Profile 276,user276@mail.com,Employee 276,Marketing Executive,Inactive,5855,Full-time,Citizen,46,680
277,Profile 277,user277@company.org,Employee 277,HR Manager,Active,9768,Part-time,Citizen,36,423
278,Profile 278,user278@mail.com,Employee 278,DevOps Engineer,Active,9521,Part-time,Citizen,31,123
279,Profile 279,user279@corporate.net,Employee 279,Business Analyst,Active,4401,Full-time,PR,32,142
280,Profile 280,user280@mail.com,Employee 280,Software Engineer,Active,9717,Full-time,Foreigner,50,926
281,Profile 281,user281@corporate.net,Employee 281,UX Designer,Inactive,4660,Part-time,Foreigner,37,214
282,Profile 282,user282@company.org,Employee 282,Business Analyst,Inactive,4928,Full-time,PR,63,192
283,Profile 283,user283@mail.com,Employee 283,Project Manager,Active,4692,Contract,Citizen,54,94
